名称,大分类,卡路里,碳水化合物,总糖,蛋白质,脂肪,饱和脂肪,单不饱和脂肪,多元不饱和脂肪,总纤维,胆固醇,维生素B6,维生素A,维生素B12,维生素C,维生素D,维生素E,维生素K,硫胺素,核黄素,烟酸,叶酸,泛酸,胆碱,钙,铜,铁,镁,锰,磷,钾,硒,钠,锌
葡萄,水果 / 蔬菜 / 豆类 / 坚果,0.690000 ,0.181000 ,0.154800 ,0.007200 ,0.001600 ,0.000540 ,0.000070 ,0.000480 ,0.009000 ,0.000000 ,0.000860 ,0.660000 ,0.000000 ,0.032000 ,0.000000 ,0.001900 ,0.146000 ,0.000690 ,0.000700 ,0.001880 ,0.020000 ,0.000500 ,0.056000 ,0.100000 ,0.001270 ,0.003600 ,0.070000 ,0.000710 ,0.200000 ,1.910000 ,0.001000 ,0.020000 ,0.000700 
瓜,水果 / 蔬菜 / 豆类 / 坚果,0.280000 ,0.065800 ,0.056900 ,0.011100 ,0.001000 ,0.000250 ,0.000020 ,0.000390 ,0.009000 ,0.000000 ,0.001630 ,0.000000 ,0.000000 ,0.218000 ,0.000000 ,0.000500 ,0.025000 ,0.000150 ,0.000310 ,0.002320 ,0.080000 ,0.000840 ,0.076000 ,0.110000 ,0.000600 ,0.003400 ,0.110000 ,0.000350 ,0.050000 ,1.820000 ,0.004000 ,0.090000 ,0.000700 
面包,焙烤食品,2.740000 ,0.475400 ,0.057300 ,0.106700 ,0.045300 ,0.006970 ,0.006120 ,0.016150 ,0.040000 ,0.000000 ,0.001110 ,0.020000 ,0.000000 ,0.002000 ,0.000000 ,0.001900 ,0.049000 ,0.004110 ,0.002520 ,0.055900 ,0.850000 ,0.008200 ,0.187000 ,1.250000 ,0.001480 ,0.036000 ,0.410000 ,0.010260 ,1.290000 ,1.410000 ,0.288000 ,4.730000 ,0.010400 
奶酪,乳与乳制品,3.930000 ,0.014400 ,0.000000 ,0.269600 ,0.309900 ,0.182270 ,0.080460 ,0.013410 ,0.000000 ,0.930000 ,0.000710 ,10.470000 ,0.030600 ,0.000000 ,0.000000 ,0.006000 ,0.014000 ,0.000110 ,0.003020 ,0.000640 ,0.100000 ,0.003530 ,0.155000 ,8.900000 ,0.000470 ,0.001300 ,0.330000 ,0.000260 ,5.740000 ,0.720000 ,0.300000 ,1.870000 ,0.043700 
牛肉,肉及肉制品,2.170000 ,0.000000 ,0.000000 ,0.274800 ,0.110500 ,0.046000 ,0.051590 ,0.005830 ,0.000000 ,0.810000 ,0.007580 ,0.050000 ,0.018900 ,0.000000 ,0.030000 ,0.001400 ,0.015000 ,0.000570 ,0.002700 ,0.062920 ,0.070000 ,0.003070 ,0.661000 ,0.190000 ,0.000790 ,0.035700 ,0.200000 ,0.000040 ,2.100000 ,2.800000 ,0.304000 ,0.680000 ,0.046900 
汉堡,焙烤食品,2.540000 ,0.248100 ,0.000000 ,0.117400 ,0.122500 ,0.037550 ,0.048090 ,0.023430 ,0.000000 ,0.240000 ,0.001100 ,0.750000 ,0.008000 ,0.015000 ,0.000000 ,0.000000 ,0.000000 ,0.002100 ,0.001800 ,0.033500 ,0.470000 ,0.002700 ,0.000000 ,0.570000 ,0.000930 ,0.023900 ,0.200000 ,0.002300 ,1.130000 ,2.060000 ,0.187000 ,4.580000 ,0.018700 
炸薯条,粮食和粮食制品,3.120000 ,0.414400 ,0.003000 ,0.034300 ,0.147300 ,0.023360 ,0.059690 ,0.053980 ,0.038000 ,0.000000 ,0.003720 ,0.000000 ,0.000000 ,0.047000 ,0.000000 ,0.016700 ,0.112000 ,0.001700 ,0.000390 ,0.030040 ,0.300000 ,0.005800 ,0.368000 ,0.180000 ,0.001240 ,0.008100 ,0.350000 ,0.002470 ,1.250000 ,5.790000 ,0.009000 ,2.100000 ,0.005000 
披萨,焙烤食品,2.660000 ,0.333300 ,0.035800 ,0.113900 ,0.096900 ,0.044650 ,0.026080 ,0.016810 ,0.023000 ,0.170000 ,0.000800 ,3.580000 ,0.004200 ,0.014000 ,0.000000 ,0.008300 ,0.067000 ,0.003900 ,0.001950 ,0.038250 ,0.930000 ,0.000000 ,0.164000 ,1.880000 ,0.001050 ,0.024800 ,0.240000 ,0.003600 ,2.160000 ,1.720000 ,0.199000 ,5.980000 ,0.013400 
爆米花,粮食和粮食制品,5.000000 ,0.572000 ,0.000000 ,0.090000 ,0.281000 ,0.048900 ,0.081700 ,0.134200 ,0.100000 ,0.000000 ,0.002090 ,0.110000 ,0.000000 ,0.003000 ,0.000000 ,0.000000 ,0.000000 ,0.001340 ,0.001360 ,0.015500 ,0.170000 ,0.003050 ,0.000000 ,0.100000 ,0.002210 ,0.027800 ,1.080000 ,0.008790 ,2.500000 ,2.250000 ,0.073000 ,8.840000 ,0.026400 
大米饼干,焙烤食品,4.160000 ,0.826400 ,0.000000 ,0.100000 ,0.050000 ,0.000000 ,0.030210 ,0.016410 ,0.000000 ,0.000000 ,0.005540 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.012600 ,0.021000 ,0.004360 ,0.001010 ,0.055370 ,0.220000 ,0.016240 ,0.334000 ,0.000000 ,0.003010 ,0.000000 ,1.560000 ,0.040710 ,3.620000 ,2.430000 ,0.255000 ,2.330000 ,0.022000 
大米,粮食和粮食制品,1.300000 ,0.285900 ,0.000000 ,0.023800 ,0.002100 ,0.000570 ,0.000650 ,0.000560 ,0.003000 ,0.000000 ,0.000500 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.001670 ,0.000160 ,0.018350 ,0.580000 ,0.004110 ,0.000000 ,0.030000 ,0.000380 ,0.014900 ,0.130000 ,0.003770 ,0.370000 ,0.290000 ,0.075000 ,0.000000 ,0.004200 
意大利面,粮食和粮食制品,1.570000 ,0.305900 ,0.005600 ,0.058000 ,0.009300 ,0.001760 ,0.001310 ,0.003260 ,0.018000 ,0.000000 ,0.000490 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000600 ,0.000000 ,0.002740 ,0.001360 ,0.016890 ,0.730000 ,0.001120 ,0.000000 ,0.070000 ,0.001000 ,0.012800 ,0.180000 ,0.003220 ,0.580000 ,0.440000 ,0.264000 ,1.310000 ,0.005100 
炸虾,水产及其制品,3.080000 ,0.279900 ,0.001000 ,0.078400 ,0.189000 ,0.038430 ,0.119050 ,0.015930 ,0.007000 ,0.580000 ,0.000600 ,1.090000 ,0.005300 ,0.000000 ,0.010000 ,0.025200 ,0.047000 ,0.000600 ,0.000200 ,0.012400 ,0.430000 ,0.000000 ,0.506000 ,0.290000 ,0.000970 ,0.008600 ,0.160000 ,0.001720 ,1.850000 ,0.820000 ,0.097000 ,8.970000 ,0.005800 
冰淇淋,冷冻饮品,2.220000 ,0.222000 ,0.211600 ,0.041000 ,0.130000 ,0.074600 ,0.034900 ,0.004600 ,0.007000 ,0.910000 ,0.000480 ,5.890000 ,0.005000 ,0.008000 ,0.290000 ,0.006100 ,0.009000 ,0.000490 ,0.001820 ,0.000950 ,0.090000 ,0.005060 ,0.260000 ,1.310000 ,0.000300 ,0.002100 ,0.120000 ,0.000050 ,1.160000 ,1.770000 ,0.030000 ,0.610000 ,0.005200 
甜甜圈,焙烤食品,4.170000 ,0.574000 ,0.319200 ,0.045000 ,0.199000 ,0.051320 ,0.112780 ,0.024770 ,0.022000 ,0.570000 ,0.000270 ,0.390000 ,0.001000 ,0.001000 ,0.000000 ,0.002100 ,0.098000 ,0.000450 ,0.000700 ,0.004700 ,0.450000 ,0.003420 ,0.291000 ,2.130000 ,0.001910 ,0.022700 ,0.340000 ,0.003700 ,1.620000 ,1.060000 ,0.041000 ,2.150000 ,0.005700 
饼干,焙烤食品,4.970000 ,0.661000 ,0.000000 ,0.046000 ,0.252000 ,0.083160 ,0.130770 ,0.026200 ,0.000000 ,0.000000 ,0.000170 ,0.040000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.001950 ,0.002050 ,0.019900 ,0.510000 ,0.001710 ,0.000000 ,0.430000 ,0.003000 ,0.020700 ,0.360000 ,0.003630 ,0.800000 ,2.080000 ,0.024000 ,2.900000 ,0.006000 
蛋糕,焙烤食品,3.710000 ,0.534000 ,0.000000 ,0.053000 ,0.151000 ,0.054300 ,0.060390 ,0.027610 ,0.016000 ,0.580000 ,0.000410 ,1.400000 ,0.001600 ,0.002000 ,0.000000 ,0.000000 ,0.000000 ,0.001410 ,0.002130 ,0.011370 ,0.270000 ,0.003040 ,1.284000 ,0.600000 ,0.002070 ,0.016100 ,0.320000 ,0.002800 ,1.060000 ,1.400000 ,0.119000 ,3.150000 ,0.006900 
巧克力棒,可可制品 / 巧克力 / 糖果,5.180000 ,0.645900 ,0.486800 ,0.065100 ,0.259900 ,0.179530 ,0.058440 ,0.008950 ,0.010000 ,0.110000 ,0.000200 ,0.810000 ,0.005600 ,0.000000 ,0.000000 ,0.003400 ,0.052000 ,0.001170 ,0.002100 ,0.005000 ,0.140000 ,0.006400 ,0.310000 ,1.250000 ,0.002200 ,0.010000 ,0.370000 ,0.001000 ,1.350000 ,2.310000 ,0.050000 ,0.540000 ,0.000900 
糖果,可可制品 / 巧克力 / 糖果,3.940000 ,0.980000 ,0.629000 ,0.000000 ,0.002000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000030 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000040 ,0.000030 ,0.000070 ,0.000000 ,0.000080 ,0.000000 ,0.030000 ,0.000290 ,0.003000 ,0.030000 ,0.000100 ,0.030000 ,0.050000 ,0.006000 ,0.380000 ,0.000100 
奶油果馅饼,焙烤食品,1.450000 ,0.227800 ,0.231500 ,0.045300 ,0.040300 ,0.017990 ,0.012660 ,0.003920 ,0.000000 ,0.900000 ,0.000440 ,1.610000 ,0.003600 ,0.000000 ,0.000000 ,0.002300 ,0.002000 ,0.000320 ,0.002100 ,0.000820 ,0.090000 ,0.005140 ,0.000000 ,0.830000 ,0.000280 ,0.003800 ,0.090000 ,0.000100 ,0.960000 ,1.180000 ,0.087000 ,0.530000 ,0.004700 
蜂蜜,甜味料，包括蜂蜜,3.040000 ,0.824000 ,0.821200 ,0.003000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.002000 ,0.000000 ,0.000240 ,0.000000 ,0.000000 ,0.005000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000380 ,0.001210 ,0.020000 ,0.000680 ,0.022000 ,0.060000 ,0.000360 ,0.004200 ,0.020000 ,0.000800 ,0.040000 ,0.520000 ,0.008000 ,0.040000 ,0.002200 
牛奶,乳与乳制品,0.640000 ,0.046500 ,0.000000 ,0.032800 ,0.036600 ,0.022780 ,0.010570 ,0.001360 ,0.000000 ,0.140000 ,0.000420 ,1.380000 ,0.003600 ,0.015000 ,0.000000 ,0.000000 ,0.000000 ,0.000380 ,0.001610 ,0.000840 ,0.050000 ,0.003130 ,0.000000 ,1.190000 ,0.000100 ,0.000500 ,0.130000 ,0.000040 ,0.930000 ,1.510000 ,0.020000 ,0.490000 ,0.003800 
红茶,饮料类,0.010000 ,0.003000 ,0.000000 ,0.000000 ,0.000000 ,0.000020 ,0.000010 ,0.000040 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000140 ,0.000000 ,0.050000 ,0.000110 ,0.004000 ,0.000000 ,0.000100 ,0.000200 ,0.030000 ,0.002190 ,0.010000 ,0.370000 ,0.000000 ,0.030000 ,0.000200 
可乐,饮料类,1.340000 ,0.050000 ,0.000000 ,0.005000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.050000 ,0.000090 ,0.001000 ,0.060000 ,0.000000 ,0.060000 ,0.250000 ,0.014000 ,0.020000 ,0.000200 
香槟,酒类,0.840000 ,0.021600 ,0.009600 ,0.000700 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000500 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000050 ,0.000150 ,0.001080 ,0.010000 ,0.000450 ,0.000000 ,0.090000 ,0.000040 ,0.002700 ,0.100000 ,0.001170 ,0.180000 ,0.710000 ,0.001000 ,0.050000 ,0.001200 
红酒,酒类,0.850000 ,0.026100 ,0.006200 ,0.000700 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000570 ,0.020000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.004000 ,0.000050 ,0.000310 ,0.002240 ,0.010000 ,0.000300 ,0.057000 ,0.080000 ,0.000110 ,0.004600 ,0.120000 ,0.001320 ,0.230000 ,1.270000 ,0.002000 ,0.040000 ,0.001400 
啤酒,酒类,0.430000 ,0.035500 ,0.000000 ,0.004600 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000460 ,0.000000 ,0.000200 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000050 ,0.000250 ,0.005130 ,0.060000 ,0.000410 ,0.101000 ,0.040000 ,0.000050 ,0.000200 ,0.060000 ,0.000080 ,0.140000 ,0.270000 ,0.006000 ,0.040000 ,0.000100 
