,2020-06-21,2020-06-21pv,2020-06-21ratio,2020-06-21sim,2020-06-28,2020-06-28pv,2020-06-28ratio,2020-06-28sim,2020-07-05,2020-07-05pv,2020-07-05ratio,2020-07-05sim,2020-07-12,2020-07-12pv,2020-07-12ratio,2020-07-12sim,2020-07-19,2020-07-19pv,2020-07-19ratio,2020-07-19sim,2020-07-26,2020-07-26pv,2020-07-26ratio,2020-07-26sim,2020-08-02,2020-08-02pv,2020-08-02ratio,2020-08-02sim,2020-08-09,2020-08-09pv,2020-08-09ratio,2020-08-09sim,2020-08-16,2020-08-16pv,2020-08-16ratio,2020-08-16sim,2020-08-23,2020-08-23pv,2020-08-23ratio,2020-08-23sim,2020-08-30,2020-08-30pv,2020-08-30ratio,2020-08-30sim,2020-09-06,2020-09-06pv,2020-09-06ratio,2020-09-06sim,2020-09-13,2020-09-13pv,2020-09-13ratio,2020-09-13sim,2020-09-20,2020-09-20pv,2020-09-20ratio,2020-09-20sim,2020-09-27,2020-09-27pv,2020-09-27ratio,2020-09-27sim,2020-10-04,2020-10-04pv,2020-10-04ratio,2020-10-04sim,2020-10-11,2020-10-11pv,2020-10-11ratio,2020-10-11sim,2020-10-18,2020-10-18pv,2020-10-18ratio,2020-10-18sim,2020-10-25,2020-10-25pv,2020-10-25ratio,2020-10-25sim,2020-11-01,2020-11-01pv,2020-11-01ratio,2020-11-01sim,2020-11-08,2020-11-08pv,2020-11-08ratio,2020-11-08sim,2020-11-15,2020-11-15pv,2020-11-15ratio,2020-11-15sim,2020-11-22,2020-11-22pv,2020-11-22ratio,2020-11-22sim,2020-11-29,2020-11-29pv,2020-11-29ratio,2020-11-29sim,2020-12-06,2020-12-06pv,2020-12-06ratio,2020-12-06sim,2020-12-13,2020-12-13pv,2020-12-13ratio,2020-12-13sim,2020-12-20,2020-12-20pv,2020-12-20ratio,2020-12-20sim,2020-12-27,2020-12-27pv,2020-12-27ratio,2020-12-27sim,2021-01-03,2021-01-03pv,2021-01-03ratio,2021-01-03sim,2021-01-10,2021-01-10pv,2021-01-10ratio,2021-01-10sim,2021-01-17,2021-01-17pv,2021-01-17ratio,2021-01-17sim,2021-01-31,2021-01-31pv,2021-01-31ratio,2021-01-31sim,2021-02-07,2021-02-07pv,2021-02-07ratio,2021-02-07sim,2021-02-14,2021-02-14pv,2021-02-14ratio,2021-02-14sim,2021-02-21,2021-02-21pv,2021-02-21ratio,2021-02-21sim,2021-02-28,2021-02-28pv,2021-02-28ratio,2021-02-28sim,2021-03-07,2021-03-07pv,2021-03-07ratio,2021-03-07sim,2021-03-14,2021-03-14pv,2021-03-14ratio,2021-03-14sim,2021-03-21,2021-03-21pv,2021-03-21ratio,2021-03-21sim,2021-03-28,2021-03-28pv,2021-03-28ratio,2021-03-28sim,2021-04-04,2021-04-04pv,2021-04-04ratio,2021-04-04sim,2021-04-11,2021-04-11pv,2021-04-11ratio,2021-04-11sim,2021-04-18,2021-04-18pv,2021-04-18ratio,2021-04-18sim,2021-04-25,2021-04-25pv,2021-04-25ratio,2021-04-25sim,2021-05-02,2021-05-02pv,2021-05-02ratio,2021-05-02sim,2021-05-09,2021-05-09pv,2021-05-09ratio,2021-05-09sim,2021-05-16,2021-05-16pv,2021-05-16ratio,2021-05-16sim,2021-05-23,2021-05-23pv,2021-05-23ratio,2021-05-23sim,2021-05-30,2021-05-30pv,2021-05-30ratio,2021-05-30sim,2021-06-06,2021-06-06pv,2021-06-06ratio,2021-06-06sim
10,特斯拉汽车,9484,88,1257,特拉斯,12264,117,852,特斯拉皮卡,13640,151,1406,特斯拉汽车,12064,90,1116,特斯拉MODEL3,18436,149,1019,特斯拉MODEL3,14834,80,922,特斯拉MODEL3,16132,109,1043,特拉斯,12912,88,766,特拉斯,15516,120,899,尼古拉特斯拉,18466,105,1026,特斯拉降价,14782,718,1845,特斯拉电动汽车价格,13656,73,653,特斯拉汽车,9718,89,1062,特斯拉MODEL 3价格,15702,62,627,特斯拉MODEL X,15330,222,1114,特拉斯,10938,85,912,尼古拉・特斯拉,12978,102,4022,尼古拉・特斯拉,13414,103,3854,特拉斯,10114.0,93.0,847.0,特斯拉电动汽车,6956,106,1077,特斯拉汽车,9232,97,1173,埃隆・马斯克,11930,154,2311,特斯拉价格,11476,165,1249,特斯拉MODEL3,11398,89,1010,特斯拉MODEL3,12190,107,1047,埃隆・马斯克,9766,86,2266,特拉斯,9946,108,770,特斯拉MODEL X,24010,178,1074,特斯拉汽车价格表,98836.0,136.0,2372.0,特斯拉汽车价格表,81840.0,83.0,3118.0,,,,,,,,,,,,,MODEL3,19058.0,142.0,598.0,特斯拉MODEL3售价22万,13534,137,2559,特斯拉MODEL S,11206,88,598,特斯拉MODEL X,16198,83,923,尼古拉特斯拉,17392.0,86.0,1064.0,特斯拉MODEL X,14320,98,846,特斯拉MODEL S,9982,111,713,MODEL3,14846,99,627,尼古拉特斯拉,13912,97,1058,特斯拉汽车,57470.0,748.0,1130.0,尼古拉特斯拉,22398,105,1188,特斯拉价格,15718,74,1067,特斯拉刹车失灵,10870,68,850,埃隆・马斯克,10742,92,2149,特斯拉价格,8794,79,1194,特斯拉事件,5684,72,1080,埃隆・马斯克,5382,97,1923
11,特拉斯,10488,91,739,特斯拉MODEL3,13826,110,1103,特斯拉MODEL3,14052,102,960,特拉斯,13334,110,964,特斯拉价格,19590,114,1058,尼古拉特斯拉,16252,101,990,尼古拉特斯拉,17196,106,1014,特斯拉MODEL3,14888,92,948,尼古拉特斯拉,17510,106,955,特斯拉电动汽车价格,22148,189,707,尼古拉特斯拉,18200,99,1254,MODEL3,18258,94,757,特拉斯,10624,87,836,尼古拉特斯拉,17396,100,990,MODEL Y,16738,104,655,特斯拉MODEL X,15728,103,1106,特斯拉MODEL3,15190,90,928,特斯拉MODEL X,14796,96,1180,特斯拉MODEL3,13612.0,84.0,1151.0,特斯拉MODEL S,7766,94,646,特拉斯,10576,103,920,特斯拉MODEL3,12956,110,873,特斯拉MODEL3,12744,98,1068,特斯拉MODEL X,14620,103,1300,特斯拉MODEL X,16330,112,1446,特斯拉MODEL3,10916,90,1028,特斯拉MODEL3,12034,110,1037,MODEL3,27618,168,835,特斯拉官网,145660.0,96.0,2434.0,特斯拉股票,213928.0,86.0,853.0,,,,,,,,,,,,,特斯拉MODEL X,20776.0,126.0,940.0,MODEL3,18022,95,554,尼古拉特斯拉,18976,86,1076,MODEL3,18616,107,666,MODEL 3,32144.0,86.0,669.0,MODEL3,14756,97,632,MODEL3,15000,102,654,特斯拉MODEL X,15370,97,902,MODEL3,15614,105,744,特斯拉官网,64414.0,165.0,2781.0,特斯拉汽车,22718,40,956,特斯拉刹车失灵,15912,52,1009,埃隆・马斯克,11616,91,1997,特斯拉价格,11146,92,1135,特斯拉属于什么档次,8900,98,698,特斯拉汽车,6498,96,584,特斯拉价格,6014,86,1130
12,特斯拉MODEL3,12530,109,1029,特斯拉电动车,17830,437,701,MODEL3,17910,100,786,特斯拉价格,17152,200,947,MODEL3,22422,114,749,特拉斯,16648,69,793,MODEL3,21490,117,790,尼古拉特斯拉,16594,96,1020,特斯拉MODEL3,18512,124,929,MODEL Y,26538,132,850,MODEL3,19432,111,811,尼古拉特斯拉,18402,101,1319,特斯拉MODEL3,10682,92,789,特斯拉价格,17508,101,1154,尼古拉特斯拉,19018,109,933,特斯拉MODEL 3价格,16338,92,763,特斯拉MODEL X,15420,98,1294,特斯拉MODEL3,16110,106,940,MODEL Y,19132.0,86.0,660.0,特斯拉汽车,9494,111,1004,特斯拉MODEL3,11826,95,884,特斯拉MODEL X,13150,103,1228,特斯拉MODEL X,14198,108,1244,MODEL3,16720,91,796,MODEL3,17742,106,802,特斯拉MODEL X,13856,85,1404,特斯拉MODEL X,13504,97,1351,特斯拉MODEL3售价22万,30052,230,1932,特斯拉狂降16万官网被挤崩,195170.0,46.0,737.0,比亚迪,630044.0,133.0,776.0,,,,,,,,,,,,,特斯拉官网,44748.0,113.0,1756.0,特斯拉MODEL X,20202,97,1208,特斯拉MODEL X,19628,97,885,尼古拉特斯拉,20308,107,1219,特斯拉MODEL Y,33732.0,84.0,988.0,尼古拉特斯拉,15788,91,1144,特斯拉MODEL X,15822,110,943,MODEL 3,30330,95,745,特斯拉MODEL X,16230,106,945,特斯拉股价,89592.0,340.0,958.0,特斯拉刹车失灵,30632,7,733,尼古拉特斯拉,17330,77,976,特斯拉价格,12090,77,1051,特斯拉事件,15248,71,1314,特斯拉MODEL X,10108,115,847,特斯拉价格,6998,80,1338,特斯拉汽车,6334,97,664
13,特斯拉价格,12562,314,737,MODEL3,17978,109,845,尼古拉特斯拉,18292,96,945,MODEL3,19708,110,807,特拉斯,24072,181,967,特斯拉多少钱,17646,60,760,特斯拉官网,34348,115,2821,MODEL3,20524,96,781,MODEL3,21488,105,708,特斯拉官网,26704,77,1900,特斯拉价格,22486,69,1143,特斯拉官网,24836,98,1704,MODEL3,16632,91,762,MODEL3,17618,106,750,特斯拉MODEL3,28556,230,1115,特斯拉MODEL3,16822,59,876,特斯拉电动汽车价格,17200,100,871,尼古拉特斯拉,22754,120,1109,尼古拉特斯拉,19288.0,85.0,1183.0,特拉斯,10246,101,867,特斯拉MODEL X,12740,100,1296,特斯拉MODEL 3价格,15384,190,625,尼古拉特斯拉,16214,103,1128,尼古拉特斯拉,21132,130,1584,MODEL Y,19926,62,654,MODEL3,16318,92,755,尼古拉特斯拉,14850,86,1169,特斯拉降价,57262,1571,1534,特斯拉MODEL 3,205384.0,112.0,2351.0,,,,,,,,,,,,,,,,,小鹏,69428.0,132.0,1222.0,尼古拉特斯拉,22170,117,1078,埃隆・马斯克,23124,187,3071,MODEL 3,37590,107,724,MODEL Y,39696.0,87.0,563.0,MODEL 3,32324,101,715,尼古拉特斯拉,17238,109,1277,特斯拉官网,36360,80,1920,MODEL 3,30620,101,661,特斯拉MODEL 3,125332.0,97.0,1615.0,特斯拉股价,40068,45,622,特斯拉多少钱一辆,21806,108,630,特斯拉MODEL Y,14744,85,667,特斯拉官网,17774,94,1692,特斯拉车标,11450,49,1307,特斯拉MODEL X,7712,76,949,特斯拉车标,6376,81,1143
14,MODEL3,16452,102,821,尼古拉特斯拉,19150,102,1094,特斯拉汽车的价格,20286,70,898,特斯拉官网,22204,95,2012,特斯拉多少钱一辆,27174,185,1215,特斯拉官网,29942,92,2218,MODEL 3,35252,108,854,特斯拉价格,25096,68,998,特斯拉官网,34538,113,1858,MODEL 3,32130,83,756,特斯拉官网,25420,95,2127,特斯拉价格,29536,131,1270,特斯拉官网,16788,68,1681,特斯拉官网,22858,136,1802,MODEL3,34214,194,1241,尼古拉特斯拉,18530,97,1048,尼古拉特斯拉,18890,102,1011,特斯拉电动汽车价格,25598,149,1594,MODEL3,20374.0,78.0,828.0,特斯拉MODEL3,12400,91,899,MODEL3,16422,90,786,尼古拉特斯拉,15772,94,1254,MODEL3,18436,104,718,特斯拉官网,21164,83,2203,尼古拉特斯拉,20474,97,1285,尼古拉特斯拉,17200,84,1457,MODEL3,16454,101,826,特斯拉Y,57854,2262,1451,特斯拉股票,249640.0,221.0,939.0,,,,,,,,,,,,,,,,,小鹏汽车,100840.0,135.0,628.0,MODEL 3,34594,89,609,MODEL 3,35068,101,639,特斯拉官网,40338,94,2057,特斯拉股票,182370.0,64.0,603.0,特斯拉MODEL Y,37702,112,1165,MODEL 3,31956,99,705,特斯拉MODEL Y,36394,100,1076,特斯拉官网,39060,107,2010,特斯拉刹车失灵事件,141036.0,10386.0,1832.0,特斯拉车标,49634,33,1722,特斯拉官网,25470,45,1698,尼古拉特斯拉,15014,87,1015,尼古拉特斯拉,17844,119,1101,尼古拉特斯拉,14526,81,1084,特斯拉车标,7898,69,1477,特斯拉事件,7254,128,1050
15,TESLA,18690,94,866,TESLA,23018,123,872,特斯拉官网,23334,64,2097,MODEL 3,30664,107,771,特斯拉官网,32562,147,2478,和平精英特斯拉,31592,34,647,特斯拉价格,36872,102,807,特斯拉官网,30648,89,2247,MODEL 3,38926,106,674,特斯拉价格,32444,65,1129,MODEL 3,32486,101,909,MODEL 3,29574,91,875,特斯拉价格,17338,59,1186,MODEL 3,30002,110,795,小鹏,48342,115,981,特斯拉降价,19802,30,1514,MODEL3,23676,98,859,MODEL3,26088,110,795,特斯拉电动汽车价格,29350.0,115.0,2438.0,尼古拉特斯拉,16876,87,1183,尼古拉特斯拉,16728,99,1265,MODEL3,17746,108,729,特斯拉官网,25508,96,2359,特斯拉大幅涨价,24226,155,1492,特斯拉官网,20790,98,2189,特斯拉官网,20796,100,3385,特斯拉电动汽车价格,19622,129,2110,小鹏,62836,114,1080,特斯拉MODEL Y,269312.0,99.0,2132.0,,,,,,,,,,,,,,,,,特斯拉股票,120394.0,101.0,674.0,特斯拉MODEL Y,47010,98,1298,特斯拉官网,42896,70,1609,特斯拉MODEL Y,40396,90,1034,比亚迪,523906.0,68.0,642.0,MODEL Y,44758,113,612,特斯拉MODEL Y,36468,97,1017,MODEL Y,39162,103,652,MODEL Y,39198,100,614,特斯拉车标,148824.0,2481.0,1584.0,特斯拉官网,56134,87,4166,特斯拉车标,31308,63,2168,特斯拉官网,18902,74,1568,特斯拉车标,23600,124,2019,特斯拉官网,16876,95,2045,尼古拉特斯拉,13690,94,1237,特斯拉MODEL S,7310,144,785
16,尼古拉特斯拉,18828,98,960,MODEL 3,27342,114,849,MODEL 3,28556,104,860,小鹏,33898,111,677,小鹏,36734,108,752,MODEL 3,32752,89,836,小鹏,38934,110,800,MODEL 3,36774,104,870,特斯拉MODEL 3价格,42970,76,767,爱迪生,45604,139,996,特斯拉MODEL 3价格,45490,92,857,特斯拉MODEL 3价格,35692,78,706,尼古拉特斯拉,17468,95,1262,特斯拉股价暴跌,30926,35143,888,MODEL 3,60294,201,1140,MODEL3,24144,71,879,MODEL Y,25172,145,661,特斯拉官网,31948,93,2584,特斯拉官网,31356.0,98.0,2571.0,MODEL3,18186,89,911,MODEL Y,19388,96,647,MODEL Y,19658,101,640,特斯拉股价,30224,112,658,MODEL Y,32092,174,700,特斯拉股价,33896,128,722,特斯拉股价,25762,76,704,特斯拉官网,20754,100,2731,特斯拉汽车价格表,72590,128,2179,MODEL Y,437666.0,98.0,1227.0,,,,,,,,,,,,,,,,,特斯拉汽车价格表,143124.0,116.0,3994.0,特斯拉股价,57276,183,595,特斯拉MODEL Y,45038,96,953,特斯拉股价,74874,159,622,,,,,特斯拉官网,49790,83,2109,MODEL Y,38064,85,579,新能源汽车前十名品牌,84088,112,587,特斯拉MODEL Y,39430,108,997,马斯克,184080.0,148.0,830.0,特斯拉再道歉,64384,1073067,749,特斯拉事件,34046,29,1750,特斯拉车标,19072,61,1691,特斯拉刹车失灵事件,48650,58,3954,特斯拉MODEL Y,17822,123,805,特斯拉官网,15968,95,2202,特斯拉MODEL X,8498,110,878
17,特斯拉汽车价格表,22884,87,1909,小鹏,31474,117,765,特斯拉股价,29456,145,795,特斯拉汽车价格表,38974,83,2203,MODEL 3,36784,120,855,小鹏,35244,96,695,特斯拉MODEL 3价格,48498,169,772,小鹏,39310,101,725,特斯拉汽车价格表,43304,75,4073,特斯拉MODEL 3价格,49516,115,985,小鹏,46074,87,925,特斯拉汽车价格表,37936,68,3900,特斯拉MODEL 3价格,25518,71,700,特斯拉汽车价格表,40668,87,2521,特斯拉MODEL3降价,62094,20292,1544,特斯拉官网,38040,33,2261,特斯拉官网,34454,91,2428,马斯克,47706,102,630,爱迪生,57772.0,128.0,880.0,特斯拉官网,27214,87,2563,特斯拉官网,26336,97,2587,特斯拉官网,26516,101,2500,MODEL 3,33430,92,836,MODEL 3,35540,106,765,MODEL 3,37324,105,881,MODEL 3,33018,88,922,MODEL 3,33456,101,818,MODEL 3,79830,239,898,比亚迪,475202.0,137.0,914.0,,,,,,,,,,,,,,,,,阿斯顿马丁,160082.0,77.0,692.0,特斯拉官网,61436,137,3240,小鹏,86804,118,1134,小鹏,80268,92,1173,,,,,电动汽车十大名牌排名及价格,54636,99,622,特斯拉官网,45590,92,1920,马斯克,90310,96,768,新能源汽车前十名品牌,76966,92,581,蔚来,295880.0,124.0,815.0,特斯拉MODEL 3,72832,58,1694,特斯拉MODEL 3,67364,92,1598,特斯拉事件,21358,63,1576,特斯拉MODEL 3,50278,101,1756,特斯拉刹车失灵事件,33518,69,4462,特斯拉MODEL Y,17820,100,891,尼古拉特斯拉,12996,95,1237
18,MODEL 3,23972,93,919,特斯拉汽车价格表,34458,151,1984,小鹏,30498,97,695,特斯拉MODEL 3,52134,96,2463,特斯拉和平精英,50072,2489,1339,特斯拉价格,36286,185,933,特斯拉MODEL 3,65892,104,3409,特斯拉MODEL 3价格,56632,117,993,小鹏,44098,112,856,小鹏,53008,120,943,特斯拉MODEL 3,47170,85,2958,小鹏,39214,85,845,MODEL 3,27256,92,857,小鹏,42140,109,751,特斯拉降价,67114,1110,1722,MODEL 3,50890,84,865,小鹏,46618,94,992,小鹏,49410,106,1077,特斯拉MODEL 3,160660.0,97.0,3426.0,特斯拉电动汽车价格,32302,110,1680,特斯拉电动汽车价格,28622,89,610,MODEL 3,36522,103,943,特斯拉汽车价格表,69210,86,2435,马斯克,62752,62,770,小鹏,62096,97,1066,特斯拉汽车价格表,47164,61,2349,小鹏,55240,98,1073,特斯拉官网,151800,731,3082,蔚来,536660.0,213.0,2164.0,,,,,,,,,,,,,,,,,特斯拉MODEL 3,167950.0,136.0,2729.0,小鹏,73836,106,1038,小鹏汽车,118638,110,602,马斯克,122880,60,892,,,,,小鹏,70578,95,1075,小鹏,90190,128,1016,小鹏,94042,104,1169,特斯拉汽车价格表,120270,94,5632,特斯拉股票,335666.0,251.0,1623.0,马斯克,114854,62,898,小鹏,81490,94,713,特斯拉MODEL 3,49748,74,1720,爱迪生,55440,123,668,特斯拉MODEL 3,61552,122,1934,特斯拉刹车失灵事件,20840,62,3756,特斯拉刹车失灵事件,16144,77,3969
19,小鹏,26820,113,816,特斯拉官网,36600,120,3585,特斯拉汽车价格表,47010,136,1952,马斯克,59980,68,765,特斯拉汽车价格表,57794,148,2616,特斯拉汽车价格表,62192,108,4420,马斯克,67062,103,821,特斯拉汽车价格表,57438,81,4050,特斯拉价格,50254,200,1173,特斯拉MODEL 3,55784,81,3127,爱迪生,52478,115,787,特斯拉股价,42278,96,745,小鹏,38574,98,778,马斯克,58768,89,664,特斯拉汽车价格表,99964,246,2345,特斯拉汽车价格表,84482,85,2333,MODEL 3,53408,105,883,特斯拉失控撞人,55628,2781400,705,,,,,MODEL 3,38174,83,829,MODEL 3,35484,93,807,小鹏,69846,129,1057,小鹏,77140,110,1224,小鹏,63918,83,1133,特斯拉汽车价格表,77076,104,2338,小鹏,56446,91,1146,特斯拉汽车价格表,56646,120,2800,特斯拉MODEL 3,183446,130,2791,,,,,,,,,,,,,,,,,,,,,蔚来,205548.0,113.0,1525.0,特斯拉MODEL 3,169572,101,2785,特斯拉MODEL 3,156856,93,2375,小鹏汽车,123658,104,581,,,,,马斯克,91888,81,747,马斯克,94184,102,935,小鹏汽车,127284,110,649,小鹏,121812,130,1123,特斯拉刹车失灵,422008.0,52229.0,1466.0,特斯拉事件,116004,19,1411,特斯拉股票,120096,72,704,小鹏,72630,89,703,特斯拉撞交警,68360,488286,1166,小鹏,69486,101,811,小鹏,62582,90,795,特斯拉MODEL Y,19990,112,1036
20,特斯拉官网,30448,116,3331,特斯拉MODEL 3,58794,83,2934,特斯拉MODEL 3,54246,92,2794,蔚来,206690,86,1500,特斯拉MODEL 3,61308,118,2603,特斯拉MODEL 3,63516,104,3186,特斯拉汽车价格表,71296,115,4163,特斯拉MODEL 3,57684,88,3198,马斯克,61228,154,677,特斯拉汽车价格表,56994,132,3775,特斯拉汽车价格表,55960,98,3597,特斯拉MODEL 3,44990,95,2856,特斯拉汽车价格表,46874,124,4251,特斯拉MODEL 3,66004,106,424,特斯拉官网,116356,509,5864,小鹏汽车,98814,91,680,特斯拉汽车价格表,82426,98,2445,MODEL 3,58452,109,917,,,,,小鹏,55842,102,1102,小鹏,54010,97,1068,特斯拉汽车价格表,80418,91,2836,马斯克,100526,122,814,特斯拉汽车价格表,74118,107,2560,特斯拉MODEL 3,146486,111,2996,马斯克,126960,74,926,小鹏汽车,107266,90,602,蔚来,252258,142,1836,,,,,,,,,,,,,,,,,,,,,玛莎拉蒂,296374.0,110.0,720.0,马斯克,171358,140,849,特斯拉汽车价格表,163334,90,6087,特斯拉汽车价格表,141622,87,4645,,,,,特斯拉汽车价格表,136226,97,6119,小鹏汽车,115686,112,562,特斯拉汽车价格表,127490,94,4523,马斯克,124688,138,763,陶琳,518486.0,35906.0,765.0,特斯拉股票,166558,50,1144,特斯拉刹车失灵事件,129720,72,6790,特斯拉刹车失灵事件,84156,65,5826,小鹏,68902,95,636,特斯拉汽车价格表,69558,68,2291,特斯拉MODEL 3,62598,102,2225,特斯拉官网,21966,138,2780
21,马斯克,68258,83,781,马斯克,100946,148,833,马斯克,88324,87,892,小鹏汽车,262678,60,668,和平精英特斯拉,93146,848,731,蔚来,216064,104,1398,蔚来,220540,102,1632,蔚来,203552,92,1342,特斯拉MODEL 3,68856,119,3005,马斯克,102862,168,763,马斯克,130534,127,902,马斯克,63940,49,691,特斯拉MODEL 3,62504,139,2914,特斯拉MODEL 3,66004,106,2548,特斯拉MODEL 3,161348,244,3618,比亚迪汉,143212,52,727,小鹏汽车,92624,94,656,特斯拉汽车价格表,94266,114,2644,,,,,特斯拉汽车价格表,77708,85,2137,特斯拉汽车价格表,88632,114,3464,马斯克,82614,158,683,特斯拉MODEL 3,117418,99,2949,特斯拉MODEL 3,131388,112,2909,马斯克,170730,272,943,特斯拉股票,135766,76,1037,马斯克,117494,93,1041,特斯拉MODEL Y,270942,3652,3460,,,,,,,,,,,,,,,,,,,,,比亚迪,459390.0,132.0,791.0,特斯拉汽车价格表,182058,127,8475,马斯克,205816,120,974,特斯拉MODEL 3,151464,97,2608,,,,,特斯拉MODEL 3,136336,100,2685,特斯拉汽车价格表,135196,99,5176,特斯拉MODEL 3,130472,93,2799,特斯拉MODEL 3,129570,99,2694,特斯拉汽车价格表,536030.0,446.0,5463.0,特斯拉刹车失灵事件,179348,127,2388,特斯拉汽车价格表,131064,61,2569,特斯拉汽车价格表,87600,67,2346,特斯拉汽车价格表,102462,117,2218,特斯拉是哪个国的车,84370,56,613,特斯拉汽车价格表,68872,99,2638,特斯拉MODEL 3,68414,109,2445
22,特斯拉MODEL 3,70802,74,3241,特斯拉股票,146310,163,872,特斯拉股票,229896,157,1040,特斯拉股票,296856,129,1197,特斯拉股票,190550,64,705,比亚迪汉,269454,86,681,比亚迪汉,260306,97,770,比亚迪汉,214008,82,641,小鹏汽车,150292,152,689,特斯拉股票,187058,104,826,小鹏汽车,162044,62,745,小鹏汽车,129198,80,733,马斯克,66396,104,773,特斯拉电池日,71704,313,1327,蔚来,208926,117,1369,特斯拉MODEL 3,167446,104,3387,比亚迪汉,130556,91,628,小鹏汽车,98020,106,645,,,,,特斯拉股票,116170,106,623,特斯拉股票,110272,95,637,特斯拉MODEL 3,119122,94,3054,特斯拉股票,148068,105,991,特斯拉股票,138348,93,841,特斯拉股票,177548,128,1062,特斯拉MODEL 3,137068,94,3423,特斯拉股票,132506,98,845,比亚迪,346088,95,800,,,,,,,,,,,,,,,,,,,,,,,,,蔚来,213682,104,1287,特斯拉股票,224470,88,875,蔚来,216922,93,1533,,,,,特斯拉股票,155008,85,568,特斯拉MODEL 3,140034,103,2936,比亚迪汉,160752,107,537,小鹏汽车,133218,105,587,特斯拉事件,605866.0,179250.0,1935.0,特斯拉汽车价格表,215090,40,3307,特斯拉追尾货车,150014,681882,2061,特斯拉股票,150154,125,637,特斯拉股票,140912,94,740,马斯克,96936,43,638,马斯克,76632,79,705,特斯拉汽车价格表,68582,100,2558
23,蔚来,168640,109,1410,蔚来,197514,117,1550,蔚来,240254,122,1512,比亚迪,492914,133,790,蔚来,208060,101,1327,玛莎拉蒂,331760,94,1199,玛莎拉蒂,311116,94,965,比亚迪,280880,87,648,特斯拉股票,179778,137,866,蔚来,223250,93,1455,蔚来,198880,89,1432,蔚来,179344,90,1421,蔚来,173514,97,1277,蔚来,178552,103,1170,比亚迪汉,277372,40,702,蔚来,210916,101,1580,特斯拉MODEL 3,161360,96,3260,特斯拉MODEL 3,164870,102,3292,,,,,小鹏汽车,128452,124,647,特斯拉MODEL 3,127114,88,3201,特斯拉股票,140676,128,749,蔚来,233164,99,1560,小鹏汽车,153262,46,725,蔚来,199352,87,1410,蔚来,183500,92,1499,特斯拉MODEL 3,140820,103,3364,MODEL Y,446392,2180,2123,,,,,,,,,,,,,,,,,,,,,,,,,特斯拉股票,255738,212,922,蔚来,232518,109,1525,特斯拉股票,282804,126,800,,,,,蔚来,208826,109,1389,蔚来,252720,121,1445,蔚来,284080,112,1560,蔚来,239086,84,1520,特斯拉是哪个国的车,1235292.0,19307.0,1368.0,蔚来,298342,101,996,马斯克,214440,187,611,蔚来,201172,90,1009,特斯拉是哪个国的车,151676,127,746,特斯拉股票,112396,80,590,特斯拉股票,98176,87,707,小鹏,97202,155,919
24,小鹏汽车,349604,92,730,小鹏汽车,410218,117,705,小鹏汽车,434906,106,706,比亚迪汉,599904,193,768,玛莎拉蒂,352298,110,1560,比亚迪,333644,90,697,比亚迪,322680,97,823,玛莎拉蒂,290298,93,761,蔚来,239372,118,1338,小鹏汽车,261686,174,757,特斯拉股票,258196,138,1041,特斯拉股票,246404,95,1108,特斯拉股票,193954,79,661,特斯拉股票,198466,102,783,比亚迪,326680,54,644,比亚迪,266154,81,662,蔚来,228678,108,1537,蔚来,216656,95,1474,,,,,特斯拉MODEL 3,143684,89,3326,蔚来,223308,85,1539,蔚来,235262,105,1482,小鹏汽车,333704,86,892,蔚来,229944,99,1514,比亚迪,384994,97,632,比亚迪汉,198200,84,666,蔚来,178234,97,1434,汽车之家,5628756,96,750,,,,,,,,,,,,,,,,,,,,,,,,,比亚迪,651606,142,645,比亚迪,622824,96,679,比亚迪,769404,124,759,,,,,比亚迪,590580,113,603,比亚迪,505746,86,646,比亚迪,492250,97,771,比亚迪,449498,91,677,,,,,特斯拉是哪个国的车,424910,34,843,蔚来,222452,75,912,马斯克,296604,138,612,蔚来,210836,105,894,蔚来,212188,101,1101,蔚来,184120,87,1120,蔚来,189188,103,1104
